对象,涉及文本数,悲伤/思念,怀念/叙述,情绪不明/叙事,希望/祝福/释然,愤怒/怨恨,感恩/爱意,遗憾/未竟,孤独/无助,愧疚/自责,恐惧/焦虑,震惊/难以接受,麻木/压抑
母亲,1789,707,608,41,175,63,40,44,20,43,35,10,3
父亲,1234,480,439,24,110,55,23,31,12,34,19,5,2
兄弟姐妹,1018,370,364,17,109,33,36,26,19,18,18,7,1
孩子/子女,984,364,348,12,115,39,39,21,15,16,12,1,2
朋友/网友,948,336,294,26,124,29,44,36,17,19,14,8,1
奶奶,870,349,335,16,64,20,25,23,11,17,10,0,0
爷爷,830,320,325,22,51,22,16,28,12,15,14,5,0
外婆/姥姥,650,277,228,22,48,13,14,18,7,10,7,5,1
宠物-猫,592,185,148,18,105,22,37,23,12,26,11,2,3
外公/姥爷,569,246,195,17,44,15,10,17,12,8,2,3,0
宠物-狗,550,182,162,29,84,18,23,18,8,18,4,3,1
恋人/伴侣,467,132,109,59,58,13,57,8,18,6,4,2,1
宠物-其他,450,153,129,20,60,11,24,10,11,19,8,3,2
叔伯舅姨姑,437,177,177,1,30,13,8,8,3,7,8,4,1
同学/同桌,393,134,139,5,45,18,13,17,7,5,4,5,1
老师,352,119,125,7,40,16,17,5,8,6,3,6,0
陌生人/公众人物,141,51,42,6,19,8,6,2,2,2,2,1,0
同事,49,18,19,1,6,1,0,3,0,0,0,1,0
宠物-仓鼠/鼠,44,18,5,2,8,0,4,2,1,3,1,0,0
